finess;departement;totpop;popplus50;gagnant;pth;ptg;strength_total;closeness_all;centrality;prestige;betweenness;pagerank;triangles;degree;nbpatients;acc_kines;acc_nurse;tamin_chir;tamin_ssr;tamin_longstay;tamin_ssiad;tamin_rhumato;tamax_chir;tamiax_ssr;tamax_longstay;tamax_ssiad;tamax_rhumato;nb_csip;nb_ssiad;density_nurse;density_kine;pop;cpx;X2015;X2016;X2017;X2018;X2019
330782582;33;1620243;37.61;1;1;1;25;0.358823529;0.141203704;0.096671949;0.060482696;0.043273217;1;13;110;3.26;4.19;0;0;11;0;0;40;40;47;33;35;54;9;18.25238095;12.35714286;43738.57143;0;21.95;21.17;23.06;13.72;14.73
330782582;33;1620243;37.61;1;1;1;25;0.358823529;0.141203704;0.096671949;0.060482696;0.043273217;1;13;110;3.26;4.19;0;0;11;0;0;40;40;47;33;35;54;9;18.25238095;12.35714286;43738.57143;1;30.77;33.33;100;100;100
340780634;34;1165412;40.13;0;0;0;38;0.403100775;0.220338983;0.07232267;0.137496823;0.040616263;1;18;161;4.24;4.98;0;0;0;0;0;44;36;44;32;44;39;32;26.24482759;19.68390805;30639.91954;0;56;58.38;53.98;54.65;56.74
340780634;34;1165412;40.13;0;0;0;38;0.403100775;0.220338983;0.07232267;0.137496823;0.040616263;1;18;161;4.24;4.98;0;0;0;0;0;44;36;44;32;44;39;32;26.24482759;19.68390805;30639.91954;1;55.56;58.06;66.67;60;59.09
350000121;35;1076330;35.9;1;1;1;18;0.237113402;0.081996435;0.100877193;0.22410628;0.040260996;1;14;148;2.6;3.14;0;0;0;0;0;41;23;31;36;42;37;15;12.88617021;7.415957447;18236.56383;0;21.84;20.32;17.54;15.33;16.79
350000121;35;1076330;35.9;1;1;1;18;0.237113402;0.081996435;0.100877193;0.22410628;0.040260996;1;14;148;2.6;3.14;0;0;0;0;0;41;23;31;36;42;37;15;12.88617021;7.415957447;18236.56383;1;41.67;63.04;40.43;35.48;51.06
400780342;40;409325;46.7;0;0;0;11;0.224137931;0.110169492;0.171052632;0;0.054304571;1;5;88;3.61;3.39;0;0;0;0;0;30;28;30;34;29;0;1;16.87608696;15.22173913;14262.3913;0;NA;44.44;40.78;42.41;37.93
400780342;40;409325;46.7;0;0;0;11;0.224137931;0.110169492;0.171052632;0;0.054304571;1;5;88;3.61;3.39;0;0;0;0;0;30;28;30;34;29;0;1;16.87608696;15.22173913;14262.3913;1;NA;100;60;NA;NA
420010050;42;762222;41.29;0;0;0;84;0.245454545;0.182432432;0.143617021;0.094705603;0.118733355;1;17;322;2.74;3.99;0;0;0;0;0;46;42;66;23;49;42;48;17.70555556;9.644444444;21088.18519;0;47.23;48.08;51.76;48.51;47.34
420010050;42;762222;41.29;0;0;0;84;0.245454545;0.182432432;0.143617021;0.094705603;0.118733355;1;17;322;2.74;3.99;0;0;0;0;0;46;42;66;23;49;42;48;17.70555556;9.644444444;21088.18519;1;69.47;67.07;68.83;75.32;73.86
570001057;57;1036153;41.22;1;1;1;43;0.266233766;0.220430108;0.027479893;0.04695122;0.029399772;1;13;479;2.67;3.82;0;0;0;0;0;43;35;40;35;61;4;11;13.39626168;6.751869159;21220.35981;0;22.94;20.59;16.87;18.2;17.3
570001057;57;1036153;41.22;1;1;1;43;0.266233766;0.220430108;0.027479893;0.04695122;0.029399772;1;13;479;2.67;3.82;0;0;0;0;0;43;35;40;35;61;4;11;13.39626168;6.751869159;21220.35981;1;28.06;25.95;25;30.08;29.37
590000618;59;2592185;35.32;1;1;1;62;0.343971631;0.105895197;0.094634146;0.230173478;0.061102179;1;29;243;3.33;4.53;0;0;0;0;0;31;21;28;19;34;6;15;18.375;10.852;17907.07;0;46.05;43.86;43.3;36.71;38.21
590000618;59;2592185;35.32;1;1;1;62;0.343971631;0.105895197;0.094634146;0.230173478;0.061102179;1;29;243;3.33;4.53;0;0;0;0;0;31;21;28;19;34;6;15;18.375;10.852;17907.07;1;70.59;75;58.14;54.55;64.94
590780383;59;2592185;35.32;0;0;0;31;0.329931973;0.117149758;0.08762421;0.105487586;0.012297982;1;17;204;3.84;4.47;0;0;0;0;0;23;24;28;12;22;102;38;15.71636364;13.00181818;54406.2;0;51.99;44.68;42.89;35.76;40.47
590780383;59;2592185;35.32;0;0;0;31;0.329931973;0.117149758;0.08762421;0.105487586;0.012297982;1;17;204;3.84;4.47;0;0;0;0;0;23;24;28;12;22;102;38;15.71636364;13.00181818;54406.2;1;75;73.33;54.55;68.97;63.83
590781951;59;2592185;35.32;1;1;1;59;0.337979094;0.110102157;0.091165414;0.097221497;0.017779296;1;24;173;3.81;4.26;0;0;0;0;0;28;26;29;19;32;111;37;15.42619048;12.66309524;38289.69048;0;31.02;28.26;25.84;25.04;24.75
