"name";"strength_total";"closeness_all";"centrality";"prestige";"betweenness";"pagerank";"triangles";"degree";"finess";"experimentateur";"status";"section";"reg23_label";"annee";"Count"
"110000023_MCO";18;0.333333333333333;0.223529411764706;0.100529100529101;0.216374269005848;0.0887098057390756;1;10;"110000023";0;"MCO";"structureet";"Languedoc";2015;5
"110000049_MCO";4;0.152;0.0524861878453039;0.0935960591133005;0;0.124028730302338;0;2;"110000049";0;"MCO";"structureet";"Languedoc";2015;5
"110000056_MCO";34;0.351851851851852;0.197916666666667;0.111111111111111;0.345029239766082;0.112105414880669;1;12;"110000056";0;"MCO";"structureet";"Languedoc";2015;5
"110780228_MCO";15;0.271428571428571;0.169642857142857;0.104972375690608;0.0350877192982456;0.0585497463088558;1;5;"110780228";0;"MCO";"structureet";"Languedoc";2015;5
"110780483_MCO";14;0.301587301587302;0.184466019417476;0.108571428571429;0.159356725146199;0.0284555913562187;1;6;"110780483";0;"MCO";"structureet";"Languedoc";2015;5
"120000039_MCO";36;0.386363636363636;0.2125;0.26984126984127;0.545955882352941;0.172801406851177;1;11;"120000039";0;"MCO";"structureet";"Midi-Pyrénées";2015;5
"120000054_MCO";27;0.12781954887218;0.0965909090909091;0.0890052356020942;0;0.091644945264999;1;4;"120000054";0;"MCO";"structureet";"Midi-Pyrénées";2015;5
"120004569_MCO";19;0.320754716981132;0.215189873417722;0.188888888888889;0.351102941176471;0.103217681394916;1;9;"120004569";0;"MCO";"structureet";"Midi-Pyrénées";2015;5
"120004668_MCO";4;0.242857142857143;0.161904761904762;0.193181818181818;0;0.0224759780162994;1;3;"120004668";0;"MCO";"structureet";"Midi-Pyrénées";2015;5
"130000409_MCO";38;0.22107969151671;0.122159090909091;0.0598885793871866;0.0617391435446879;0.0391012788171115;1;21;"130000409";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"130000565_MCO";19;0.212345679012346;0.124277456647399;0.0575635876840696;0.0664351715755704;0.0307020205345011;1;14;"130000565";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"130001225_MCO";8;0.220512820512821;0.12874251497006;0.0584239130434783;0.023473744677575;0.00677489265713781;1;8;"130001225";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"130002215_MCO";10;0.191536748329621;0.115127175368139;0.0555555555555556;0.013422144051419;0.0127156210796599;1;6;"130002215";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"130002827_MCO";4;0.168958742632613;0.104878048780488;0.0530864197530864;0;0.0103232388241893;1;3;"130002827";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"130002835_MCO";4;0.164750957854406;0.11878453038674;0.0114942528735632;0;0.00220243044066259;1;2;"130002835";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"130008253_MCO";9;0.191111111111111;0.10831234256927;0.0576407506702413;0.000411492292477245;0.00493171601759548;1;5;"130008253";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"130037922_MCO";38;0.233062330623306;0.128166915052161;0.0605207600281492;0.105455286489929;0.0245755424407703;1;25;"130037922";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"130041767_MCO";16;0.158379373848987;0.104368932038835;0.0502923976608187;0;0.0143678349847131;1;4;"130041767";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"130043664_MCO";65;0.228116710875332;0.129909365558912;0.0604356992269852;0.088158509029395;0.0487508349408214;1;25;"130043664";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"130780521_MCO";18;0.216624685138539;0.119944211994421;0.0601398601398601;0.0452830974413966;0.0135000358028271;1;14;"130780521";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"130781289_MCO";7;0.216624685138539;0.123563218390805;0.057371581054036;0.00667440478657989;0.00360466827010688;1;7;"130781289";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"130781370_MCO";12;0.169625246548323;0.0664605873261206;0.0560991519895629;0.0207250341997264;0.0173678749782441;1;6;"130781370";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"130781479_MCO";63;0.219387755102041;0.123919308357349;0.0586230402181322;0.0207785093951252;0.0122392684024874;1;12;"130781479";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"130781867_MCO";11;0.207228915662651;0.113606340819022;0.0580688723835246;0.0210580743925477;0.00890905876691235;1;7;"130781867";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"130782071_MCO";11;0.192393736017897;0.115746971736205;0.0478043357420789;0;0.00633976818306438;1;4;"130782071";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"130782147_MCO";8;0.198614318706697;0.117647058823529;0.0571428571428571;0.00247968743522779;0.00624493057641693;1;6;"130782147";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"130783236_MCO";25;0.226912928759894;0.128935532233883;0.0600139567341242;0.0544178400395445;0.0151140460947107;1;19;"130783236";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"130783293_MCO";49;0.25;0.1376;0.0600978336827393;0.175747882848106;0.0302742612814727;1;34;"130783293";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"130783327_MCO";8;0.215538847117794;0.122857142857143;0.0590659340659341;0.0181761503609093;0.00663413249641091;1;8;"130783327";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"130783665_MCO";15;0.207228915662651;0.121468926553672;0.0568031704095112;0.0194180860938727;0.00808259968106405;1;9;"130783665";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"130783723_MCO";36;0.236263736263736;0.131498470948012;0.0597637248088951;0.054510181350529;0.0110013627760886;1;20;"130783723";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"130784051_MCO";17;0.229333333333333;0.127031019202363;0.0595567867036011;0.0664174382121192;0.0132311524483654;1;16;"130784051";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"130784234_MCO";48;0.230563002680965;0.127031019202363;0.0598885793871866;0.0588291003738374;0.0338507734931076;1;25;"130784234";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"130784713_MCO";24;0.21608040201005;0.124098124098124;0.0598052851182197;0.0218683881450968;0.0214566629824646;1;15;"130784713";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"130785389_MCO";23;0.175510204081633;0.112271540469974;0.0547422024188415;0.0196990424076607;0.00810687642053022;1;5;"130785389";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"130785652_MCO";44;0.237569060773481;0.127596439169139;0.0601398601398601;0.0813718608509345;0.0252751559095251;1;27;"130785652";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"130785678_MCO";7;0.221649484536082;0.116689280868385;0.0595567867036011;0.0160643221347736;0.00972394958374639;1;7;"130785678";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"130786361_MCO";18;0.213930348258706;0.123741007194245;0.0597222222222222;0.0511548193587302;0.0166378359362723;1;15;"130786361";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"130786742_MCO";8;0.209245742092457;0.12463768115942;0.0573333333333333;0.0550302911862419;0.00358618684640147;1;7;"130786742";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"130810740_MCO";22;0.213399503722084;0.12338593974175;0.0589849108367627;0.0260678503430173;0.0162354897836057;1;13;"130810740";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"140000027_MCO";17;0.173652694610778;0.11328125;0.136792452830189;0.170258620689655;0.0799576961920128;1;10;"140000027";0;"MCO";"structureet";"Basse-Normandie";2015;5
"140000209_MCO";48;0.224806201550388;0.130630630630631;0.157608695652174;0.257881773399015;0.112417740380097;1;20;"140000209";0;"MCO";"structureet";"Basse-Normandie";2015;5
"140000233_MCO";2;0.0344418052256532;0.0344418052256532;0.0333333333333333;0;0.00556186779170571;0;1;"140000233";0;"MCO";"structureet";"Basse-Normandie";2015;5
"140000290_MCO";5;0.173652694610778;0.127753303964758;0.0344827586206897;0.0307881773399015;0.0125576877676956;1;4;"140000290";0;"MCO";"structureet";"Basse-Normandie";2015;5
"140000373_MCO";8;0.185897435897436;0.111538461538462;0.155080213903743;0.036555829228243;0.0239158321501677;1;5;"140000373";0;"MCO";"structureet";"Basse-Normandie";2015;5
"140016759_MCO";22;0.2;0.124463519313305;0.161111111111111;0.0786535303776683;0.0482229793802409;1;11;"140016759";0;"MCO";"structureet";"Basse-Normandie";2015;5
"140017237_MCO";41;0.223076923076923;0.126637554585153;0.179012345679012;0.335509031198686;0.0954956421979003;1;20;"140017237";0;"MCO";"structureet";"Basse-Normandie";2015;5
"140018730_MCO";2;0.158469945355191;0.119834710743802;0.0333333333333333;0;0.00556186779170571;1;2;"140018730";0;"MCO";"structureet";"Basse-Normandie";2015;5
"140024886_MCO";3;0.198630136986301;0.117886178861789;0.155080213903743;0.0666050903119869;0.00894400511954802;0;3;"140024886";0;"MCO";"structureet";"Basse-Normandie";2015;5
"140026410_MCO";2;0.185897435897436;0.115079365079365;0.155080213903743;0;0.00894400511954802;0;2;"140026410";0;"MCO";"structureet";"Basse-Normandie";2015;5
"140026709_MCO";12;0.216417910447761;0.120833333333333;0.153439153439153;0.158559113300493;0.0904564350389203;1;6;"140026709";0;"MCO";"structureet";"Basse-Normandie";2015;5
"150000032_MCO";5;0.25;0.169811320754717;0.18;0.236111111111111;0.115604277333774;0;5;"150000032";0;"MCO";"structureet";"Auvergne";2015;5
"150000040_MCO";9;0.28125;0.18;0.191489361702128;0.444444444444444;0.144941060821644;1;8;"150000040";0;"MCO";"structureet";"Auvergne";2015;5
"150780732_MCO";26;0.264705882352941;0.169811320754717;0.1875;0.263888888888889;0.204626307203045;1;5;"150780732";0;"MCO";"structureet";"Auvergne";2015;5
"160000170_MCO";20;0.21875;0.212121212121212;0.181818181818182;0.347069597069597;0.109271051851705;1;13;"160000170";0;"MCO";"structureet";"Poitou-Charente";2015;5
"160000188_MCO";2;0.181818181818182;0.181818181818182;0.157303370786517;0;0.0186435936340548;0;2;"160000188";0;"MCO";"structureet";"Poitou-Charente";2015;5
"160000253_MCO";30;0.208955223880597;0.208955223880597;0.175;0.213369963369963;0.148721763745816;1;13;"160000253";0;"MCO";"structureet";"Poitou-Charente";2015;5
"160000279_MCO";3;0.0769230769230769;0.0769230769230769;0.0765027322404372;0.00549450549450549;0.086923106121878;1;3;"160000279";0;"MCO";"structureet";"Poitou-Charente";2015;5
"160013207_MCO";9;0.194444444444444;0.194444444444444;0.164705882352941;0.0659340659340659;0.0580116175064592;1;7;"160013207";0;"MCO";"structureet";"Poitou-Charente";2015;5
"160015368_MCO";2;0.0769230769230769;0.0765027322404372;0.0765027322404372;0;0.0481498255485621;1;2;"160015368";0;"MCO";"structureet";"Poitou-Charente";2015;5
"170000038_MCO";11;0.304347826086957;0.216494845360825;0.104477611940299;0.0452380952380952;0.055099009443523;1;3;"170000038";0;"MCO";"structureet";"Poitou-Charente";2015;5
"170000087_MCO";25;0.456521739130435;0.308823529411765;0.154411764705882;0.588095238095238;0.208331117211618;1;16;"170000087";0;"MCO";"structureet";"Poitou-Charente";2015;5
